66118,1400856,2
66118,1400857,3
66119,1394465,1
66119,1394466,2
66120,1394484,1
66120,1394485,2
66120,1394486,3
66120,1394487,4
66120,1394488,5
66121,1401581,1
66121,1401582,2
66121,1401583,3
66121,1401584,4
66121,1401585,5
66121,1401586,6
66121,1401587,7
66122,1394269,1
66122,1394270,2
66122,1394271,3
66122,1394272,4
66122,1394273,5
66122,1394274,6
66122,1629474,7
66123,1394159,1
66123,1394160,2
66124,1394209,1
66124,1394210,2
66125,1394151,1
66125,1394152,2
66125,1394153,3
66125,1723842,4
66126,1394369,1
66126,1394370,2
66127,1394150,1
66128,1394453,1
66128,1394454,2
